TITLE     = "Time Series Plot"
VARIABLES = "Solution Time"
"P[psf]"
ZONE T="Time Series Plot Zone"
 STRANDID=0, SOLUTIONTIME=0
 I=18000, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 2.054166608E-02 -6.390094757E-01
 2.058333345E-02 -6.390076280E-01
 2.062500082E-02 -6.390075088E-01
 2.066666633E-02 -6.390059590E-01
 2.070833370E-02 -6.390060186E-01
 2.074999921E-02 -6.390045881E-01
 2.079166658E-02 -6.390050054E-01
 2.083333395E-02 -6.390038133E-01
 2.087499946E-02 -6.390042305E-01
 2.091666684E-02 -6.390032172E-01
 2.095833421E-02 -6.390038133E-01
 2.099999972E-02 -6.390026808E-01
 2.104166709E-02 -6.390031576E-01
 2.108333260E-02 -6.390021443E-01
 2.112499997E-02 -6.390028596E-01
 2.116666734E-02 -6.390019059E-01
 2.120833285E-02 -6.390027404E-01
 2.125000022E-02 -6.390021443E-01
 2.129166760E-02 -6.390030980E-01
 2.133333310E-02 -6.390026212E-01
 2.137500048E-02 -6.390039325E-01
 2.141666599E-02 -6.390035748E-01
 2.145833336E-02 -6.390049458E-01
 2.150000073E-02 -6.390049458E-01
 2.154166624E-02 -6.390066147E-01
 2.158333361E-02 -6.390067935E-01
 2.162499912E-02 -6.390086412E-01
 2.166666649E-02 -6.390088797E-01
 2.170833386E-02 -6.390107870E-01
 2.174999937E-02 -6.390110254E-01
 2.179166675E-02 -6.390130520E-01
 2.183333412E-02 -6.390134692E-01
 2.187499963E-02 -6.390155554E-01
 2.191666700E-02 -6.390159726E-01
 2.195833251E-02 -6.390179396E-01
 2.199999988E-02 -6.390182376E-01
 2.204166725E-02 -6.390200257E-01
 2.208333276E-02 -6.390199065E-01
 2.212500013E-02 -6.390215158E-01
 2.216666751E-02 -6.390213966E-01
 2.220833302E-02 -6.390227675E-01
 2.225000039E-02 -6.390224099E-01
 2.229166590E-02 -6.390239000E-01
 2.233333327E-02 -6.390237212E-01
 2.237500064E-02 -6.390252709E-01
 2.241666615E-02 -6.390252113E-01
 2.245833352E-02 -6.390267611E-01
